,race_id,venue,race_no,config,surface,distance,going,horse_ratings,prize,race_class,sec_time1,sec_time2,sec_time3,sec_time4,time1,time2,time3,time4,place_combination1,place_combination2,place_combination3,place_dividend1,place_dividend2,place_dividend3
3917,3917,1,5,0,0,1650,1,60-40,725000.0,4,27.62,24.75,25.22,23.72,27.62,52.37,77.59,101.31,9,8,1.0,20.5,24.0,34.0
3918,3918,1,6,0,0,1650,1,80-60,1000000.0,3,27.42,24.5,25.53,23.51,27.42,51.92,77.45,100.96,4,2,7.0,15.0,13.5,27.0
3919,3919,1,7,0,0,1000,1,80-60,1000000.0,3,12.62,21.14,23.43,,12.62,33.76,57.19,,9,5,6.0,18.0,12.0,17.0
3920,3920,1,8,0,0,1200,1,80-60,1000000.0,3,23.58,22.66,23.88,,23.58,46.24,70.12,,12,11,3.0,39.5,15.0,30.5
3921,3921,0,1,0,0,1200,0,40-15,550000.0,5,23.34,22.81,23.73,,23.34,46.15,69.88,,7,2,9.0,16.5,35.0,89.0
3922,3922,0,2,0,0,1400,0,40-15,550000.0,5,13.64,21.95,23.42,23.82,13.64,35.59,59.01,82.83,4,10,8.0,21.0,36.5,28.0
3923,3923,0,3,0,0,1200,0,60-40,725000.0,4,23.99,22.67,22.75,,23.99,46.66,69.41,,7,2,5.0,23.5,51.0,24.0
3924,3924,0,4,0,0,1200,0,60-40,725000.0,4,23.86,23.02,23.42,,23.86,46.88,70.3,,6,4,11.0,16.5,17.0,311.0
3925,3925,0,5,0,0,1800,0,60-35,725000.0,4,14.02,22.86,24.08,24.36,14.02,36.88,60.96,85.32,6,2,11.0,15.5,77.0,51.0
3926,3926,0,6,0,0,1400,0,60-40,725000.0,4,13.84,22.42,23.56,23.08,13.84,36.26,59.82,82.9,2,9,7.0,19.5,23.0,21.5
3927,3927,0,7,0,0,1200,0,80-60,1000000.0,3,23.77,23.14,22.71,,23.77,46.91,69.62,,4,14,1.0,25.0,42.5,25.0
3928,3928,0,8,0,0,1400,0,110-85,2000000.0,1,13.41,21.52,23.23,23.38,13.41,34.93,58.16,81.54,1,4,3.0,12.0,63.0,32.5
3929,3929,0,9,0,0,1600,0,80-60,1000000.0,3,25.2,23.61,24.38,22.36,25.2,48.81,73.19,95.55,3,7,9.0,16.0,29.0,329.0
3930,3930,0,10,0,0,1400,0,85-60,1000000.0,3,13.38,21.49,23.55,23.79,13.38,34.87,58.42,82.21,10,2,5.0,33.0,21.5,13.5
3931,3931,1,1,2,0,1000,1,40-15,550000.0,5,12.75,22.27,22.85,,12.75,35.02,57.87,,10,12,1.0,14.5,47.5,20.5
3932,3932,1,2,2,0,1200,1,60-40,725000.0,4,24.03,23.28,23.22,,24.03,47.31,70.53,,3,1,8.0,15.5,15.5,17.5
3933,3933,1,3,2,0,1650,1,40-15,550000.0,5,27.98,23.97,25.14,23.86,27.98,51.95,77.09,100.95,8,7,5.0,17.5,26.0,65.0
3934,3934,1,4,2,0,1650,1,60-40,725000.0,4,27.8,23.3,24.89,24.28,27.8,51.1,75.99,100.27,2,5,3.0,18.0,21.0,15.5
3935,3935,1,5,2,0,1200,1,80-60,1000000.0,3,23.52,22.8,23.88,,23.52,46.32,70.2,,9,12,3.0,17.0,18.0,16.0
3936,3936,1,6,2,0,1800,1,85-60,1000000.0,3,13.78,23.47,25.23,24.47,13.78,37.25,62.48,86.95,4,11,8.0,16.5,16.5,29.5
3937,3937,1,7,2,0,1000,1,105-80,1400000.0,2,12.61,21.58,22.8,,12.61,34.19,56.99,,9,3,8.0,13.5,45.5,35.0
3938,3938,1,8,2,0,1650,1,80-60,1000000.0,3,27.8,23.56,24.84,23.94,27.8,51.36,76.2,100.14,8,1,4.0,22.5,16.5,23.0
3939,3939,0,1,3,0,1400,0,60-40,725000.0,4,13.58,21.92,24.08,23.27,13.58,35.5,59.58,82.85,5,13,3.0,52.5,31.0,13.0
3940,3940,0,2,3,0,1800,0,40-15,550000.0,5,14.19,23.05,24.28,24.55,14.19,37.24,61.52,86.07,11,6,12.0,13.0,47.5,103.5
3941,3941,0,3,3,0,1200,0,G,750000.0,4,23.8,23.44,22.82,,23.8,47.24,70.06,,3,2,5.0,20.0,57.5,15.0
3942,3942,0,4,3,0,1200,0,80-60,1000000.0,3,23.92,23.0,22.88,,23.92,46.92,69.8,,5,8,4.0,19.5,25.0,68.5
3943,3943,0,5,3,0,1400,0,60-40,725000.0,4,13.45,22.11,23.2,23.78,13.45,35.56,58.76,82.54,3,11,1.0,19.0,22.5,22.5
3944,3944,0,6,3,0,1600,0,60-40,725000.0,4,24.36,23.58,24.61,23.45,24.36,47.94,72.55,96.0,2,11,10.0,16.0,14.0,28.0
3945,3945,0,7,3,0,2000,0,G,3500000.0,12,25.39,24.06,24.45,23.3,25.39,49.45,73.9,97.2,7,4,1.0,18.0,28.0,12.5
3946,3946,0,8,3,0,1600,0,G,3500000.0,12,24.55,23.27,23.5,22.57,24.55,47.82,71.32,93.89,2,4,7.0,11.5,21.0,51.0
3947,3947,0,9,3,0,1200,0,G,3500000.0,12,23.75,22.28,22.76,,23.75,46.03,68.79,,8,4,1.0,22.0,12.0,44.0
3948,3948,0,10,3,0,1400,0,80-60,1000000.0,3,13.75,22.06,23.5,23.09,13.75,35.81,59.31,82.4,4,5,8.0,13.0,20.0,18.0
3949,3949,0,11,3,0,1200,0,100-80,1400000.0,2,24.02,22.05,23.06,,24.02,46.07,69.13,,12,7,8.0,15.5,16.0,58.5
3950,3950,1,1,4,0,1200,1,40-15,550000.0,5,23.59,23.17,23.53,,23.59,46.76,70.29,,7,6,5.0,15.5,29.5,73.0
3951,3951,1,2,4,0,1000,1,60-40,725000.0,4,12.69,21.72,23.11,,12.69,34.41,57.52,,1,8,10.0,10.1,15.5,55.5
3952,3952,1,3,4,0,1200,1,60-40,725000.0,4,23.89,23.72,23.19,,23.89,47.61,70.8,,2,11,7.0,22.0,88.5,23.0
3953,3953,1,4,4,0,1650,1,60-40,725000.0,4,27.86,23.94,25.67,23.54,27.86,51.8,77.47,101.01,3,9,4.0,13.5,26.5,32.5
3954,3954,1,5,4,0,1650,1,60-40,725000.0,4,28.03,25.59,24.36,23.6,28.03,53.62,77.98,101.58,9,12,6.0,123.0,56.5,23.5
3955,3955,1,6,4,0,1200,1,80-60,1000000.0,3,23.36,22.75,23.47,,23.36,46.11,69.58,,5,1,8.0,13.5,36.5,26.5
3956,3956,1,7,4,0,1650,1,80-60,1000000.0,3,28.06,24.58,24.81,23.06,28.06,52.64,77.45,100.51,11,8,4.0,15.5,14.5,44.5
3957,3957,1,8,4,0,1650,1,100-80,1400000.0,2,27.91,23.86,24.33,23.45,27.91,51.77,76.1,99.55,2,9,12.0,29.5,70.0,20.0
3958,3958,0,1,4,0,1000,0,60-40,725000.0,4,13.11,21.05,22.67,,13.11,34.16,56.83,,2,6,7.0,14.5,12.5,74.0
3959,3959,0,2,4,0,1200,0,60-40,725000.0,4,24.23,22.89,22.65,,24.23,47.12,69.77,,6,5,11.0,48.0,15.0,20.0
3960,3960,0,3,4,0,1200,0,80-60,1000000.0,3,23.88,22.92,22.99,,23.88,46.8,69.79,,12,10,7.0,12.0,85.0,16.0
3961,3961,0,4,4,0,1400,0,40-0,550000.0,5,13.67,21.92,24.08,23.88,13.67,35.59,59.67,83.55,6,9,8.0,21.0,17.5,25.0
3962,3962,0,5,4,0,1600,0,60-40,725000.0,4,24.88,23.61,24.38,23.32,24.88,48.49,72.87,96.19,1,8,9.0,12.5,87.0,16.0
3963,3963,0,6,4,0,1400,0,60-40,725000.0,4,13.45,22.3,23.81,23.2,13.45,35.75,59.56,82.76,2,7,14.0,15.0,20.0,22.5
3964,3964,0,7,4,0,1600,0,110-90,2000000.0,1,25.45,24.39,23.31,22.41,25.45,49.84,73.15,95.56,2,10,4.0,13.5,79.5,10.5
3965,3965,0,8,4,0,1400,0,80-60,1000000.0,3,13.5,21.88,24.31,23.11,13.5,35.38,59.69,82.8,7,6,8.0,16.5,11.5,16.0
3966,3966,0,9,4,0,1600,0,80-60,1000000.0,3,24.53,23.28,23.88,23.61,24.53,47.81,71.69,95.3,9,14,7.0,19.5,53.0,98.0
3967,3967,0,10,4,0,1400,0,95-75,1400000.0,2,13.52,22.3,23.2,23.1,13.52,35.82,59.02,82.12,8,7,12.0,12.5,27.0,44.5
3968,3968,1,1,5,0,1000,1,40-15,550000.0,5,12.72,21.73,23.06,,12.72,34.45,57.51,,11,7,9.0,19.0,13.5,22.5
3969,3969,1,2,5,0,1650,1,40-15,550000.0,5,27.59,23.78,24.55,24.21,27.59,51.37,75.92,100.13,6,10,7.0,14.0,13.5,65.0
3970,3970,1,3,5,0,1000,0,60-40,725000.0,4,12.64,21.81,22.91,,12.64,34.45,57.36,,4,3,10.0,16.5,71.5,22.0
3971,3971,1,4,5,0,1200,0,60-40,725000.0,4,23.92,22.89,23.85,,23.92,46.81,70.66,,6,3,9.0,12.5,22.0,20.5
3972,3972,1,5,5,0,2200,0,60-40,725000.0,4,13.92,22.53,24.75,25.91,13.92,36.45,61.2,87.11,7,4,6.0,14.5,29.5,13.0
3973,3973,1,6,5,0,1200,0,80-60,1000000.0,3,23.86,23.8,22.7,,23.86,47.66,70.36,,8,4,5.0,24.5,30.5,32.0
3974,3974,1,7,5,0,1200,0,100-80,1400000.0,2,23.38,22.72,23.85,,23.38,46.1,69.95,,9,10,1.0,17.0,13.0,73.0
3975,3975,1,8,5,0,1800,0,80-60,1000000.0,3,14.27,24.14,24.39,24.98,14.27,38.41,62.8,87.78,8,2,6.0,25.5,21.5,19.0
3976,3976,0,1,5,0,1200,1,G,750000.0,4,23.7,22.47,24.37,,23.7,46.17,70.54,,2,6,11.0,33.0,22.0,127.0
3977,3977,0,2,0,1,1200,1,40-0,550000.0,5,23.48,22.44,23.44,,23.48,45.92,69.36,,3,4,5.0,43.5,82.5,45.0
3978,3978,0,3,0,1,1200,1,60-40,725000.0,4,23.58,22.61,22.76,,23.58,46.19,68.95,,2,1,9.0,19.5,11.0,34.0
3979,3979,0,4,5,0,1000,1,80-60,1000000.0,3,13.2,20.89,22.86,,13.2,34.09,56.95,,13,9,11.0,12.5,27.0,86.5
3980,3980,0,5,0,1,1800,1,40-15,550000.0,5,13.78,22.7,23.34,24.75,13.78,36.48,59.82,84.57,1,2,5.0,24.0,27.0,68.5
3981,3981,0,6,0,1,1650,1,60-40,725000.0,4,28.16,23.73,23.77,23.53,28.16,51.89,75.66,99.19,3,8,10.0,121.0,14.5,40.5
3982,3982,0,7,5,0,1400,1,60-40,725000.0,4,13.81,22.19,23.66,23.75,13.81,36.0,59.66,83.41,7,5,9.0,15.5,16.0,64.5
3983,3983,0,8,0,1,1200,1,80-60,1000000.0,3,23.81,22.3,22.5,,23.81,46.11,68.61,,2,7,6.0,19.0,15.0,14.5
3984,3984,0,9,0,1,1200,1,105-80,1400000.0,2,23.36,21.89,22.21,,23.36,45.25,67.46,,6,10,1.0,16.0,18.5,19.5
3985,3985,0,10,5,0,1400,1,80-60,1000000.0,3,13.67,22.28,23.8,23.12,13.67,35.95,59.75,82.87,4,1,7.0,19.5,18.0,39.5
3986,3986,0,11,0,1,1650,1,80-60,1000000.0,3,28.12,23.16,24.25,23.03,28.12,51.28,75.53,98.56,1,7,8.0,24.0,20.0,42.5
3987,3987,1,1,0,0,1200,1,40-15,550000.0,5,24.08,22.72,23.69,,24.08,46.8,70.49,,2,5,6.0,13.5,31.0,16.0
3988,3988,1,2,0,0,1000,0,60-40,725000.0,4,12.92,21.31,23.04,,12.92,34.23,57.27,,5,4,6.0,12.0,48.0,18.5
3989,3989,1,3,0,0,1200,0,60-40,725000.0,4,23.66,22.73,24.12,,23.66,46.39,70.51,,8,6,11.0,76.0,32.0,36.0
3990,3990,1,4,0,0,1200,0,80-60,1000000.0,3,23.48,23.14,23.34,,23.48,46.62,69.96,,12,5,8.0,16.5,21.0,73.0
3991,3991,1,5,0,0,1650,0,60-40,870000.0,4,27.41,24.83,25.16,23.86,27.41,52.24,77.4,101.26,2,6,10.0,66.5,16.5,24.0
3992,3992,1,6,0,0,1650,0,60-40,870000.0,4,27.89,24.66,25.09,23.24,27.89,52.55,77.64,100.88,1,7,10.0,18.0,37.0,23.0
3993,3993,1,7,0,0,1000,0,80-60,1200000.0,3,12.84,21.25,23.32,,12.84,34.09,57.41,,9,7,4.0,14.5,22.5,53.0
3994,3994,1,8,0,0,1650,0,80-60,1200000.0,3,27.84,25.45,25.12,22.77,27.84,53.29,78.41,101.18,9,11,5.0,15.0,26.0,15.0
3995,3995,1,9,0,0,1800,0,100-80,1400000.0,2,13.58,23.19,24.97,24.78,13.58,36.77,61.74,86.52,10,3,7.0,33.5,29.0,21.0
3996,3996,0,1,0,0,1200,0,80-60,1000000.0,3,23.97,22.47,22.58,,23.97,46.44,69.02,,1,8,13.0,14.5,11.5,35.0
3997,3997,0,2,0,0,1400,0,115-95,2000000.0,1,13.34,21.09,23.11,23.38,13.34,34.43,57.54,80.92,5,7,10.0,12.0,21.0,18.5
3998,3998,0,3,0,0,1800,0,80-55,1000000.0,3,13.97,22.19,24.09,24.06,13.97,36.16,60.25,84.31,12,4,13.0,13.0,88.0,30.0
3999,3999,0,4,0,0,2400,0,G,15000000.0,11,25.91,24.22,24.94,25.05,25.91,50.13,75.07,100.12,3,11,2.0,29.5,13.0,23.5
4000,4000,0,5,0,0,1200,0,G,15000000.0,11,23.89,22.47,21.89,,23.89,46.36,68.25,,1,7,9.0,11.0,161.0,21.5
4001,4001,0,6,0,0,1600,0,100-80,1400000.0,2,24.59,23.8,23.34,22.99,24.59,48.39,71.73,94.72,1,12,3.0,14.5,22.5,45.5
4002,4002,0,7,0,0,1600,0,G,20000000.0,11,24.75,22.95,22.95,22.95,24.75,47.7,70.65,93.6,1,5,3.0,30.5,13.0,25.0
4003,4003,0,8,0,0,2000,0,G,22000000.0,11,25.74,24.75,25.27,23.86,25.74,50.49,75.76,99.62,4,8,2.0,13.5,40.5,25.0
4004,4004,0,9,0,0,1400,0,80-60,1000000.0,3,13.81,22.67,23.59,22.53,13.81,36.48,60.07,82.6,1,13,7.0,17.5,34.0,18.5
4005,4005,0,10,0,0,1200,0,100-80,1400000.0,2,24.06,22.59,22.45,,24.06,46.65,69.1,,4,5,11.0,13.5,11.5,19.5
4006,4006,1,1,2,0,1650,0,40-15,550000.0,5,28.28,24.3,24.78,23.67,28.28,52.58,77.36,101.03,3,5,11.0,19.0,29.0,83.0
4007,4007,1,2,2,0,1800,0,40-0,550000.0,5,14.0,24.23,27.27,23.72,14.0,38.23,65.5,89.22,7,4,2.0,21.5,27.5,37.0
4008,4008,1,3,2,0,1650,0,60-40,725000.0,4,27.94,24.62,24.74,23.89,27.94,52.56,77.3,101.19,12,2,9.0,11.0,26.0,31.5
4009,4009,1,4,2,0,1800,0,60-40,725000.0,4,13.94,24.28,25.89,24.28,13.94,38.22,64.11,88.39,4,2,9.0,22.5,25.0,35.5
4010,4010,1,5,2,0,1000,0,80-60,1000000.0,3,12.69,21.39,22.97,,12.69,34.08,57.05,,4,6,9.0,21.5,20.5,12.0
4011,4011,1,6,2,0,1200,0,60-40,725000.0,4,24.0,23.11,22.79,,24.0,47.11,69.9,,1,4,2.0,18.0,18.0,15.0
4012,4012,1,7,2,0,1200,0,80-60,1000000.0,3,24.41,22.47,23.02,,24.41,46.88,69.9,,10,2,3.0,11.0,15.5,15.5
4013,4013,1,8,2,0,1650,0,80-60,1000000.0,3,28.19,23.91,23.97,23.55,28.19,52.1,76.07,99.62,3,9,7.0,20.5,12.5,25.0
4014,4014,0,1,5,0,1400,1,40-15,550000.0,5,13.5,21.81,24.52,24.13,13.5,35.31,59.83,83.96,4,8,13.0,146.0,27.0,106.5
4015,4015,0,2,5,0,1000,1,60-40,725000.0,4,13.41,21.33,23.49,,13.41,34.74,58.23,,14,7,12.0,19.5,147.5,111.5
4016,4016,0,3,5,0,1000,2,80-60,1000000.0,3,13.47,20.86,23.11,,13.47,34.33,57.44,,9,10,5.0,14.0,13.5,60.5
4017,4017,0,4,0,1,1200,8,60-40,725000.0,4,23.28,22.74,23.5,,23.28,46.02,69.52,,2,4,10.0,28.0,72.0,13.5
4018,4018,0,5,5,0,1600,2,60-40,725000.0,4,24.84,24.06,24.75,23.67,24.84,48.9,73.65,97.32,12,6,9.0,16.0,23.0,17.5
4019,4019,0,6,5,0,1400,2,60-40,725000.0,4,13.48,21.92,24.17,24.23,13.48,35.4,59.57,83.8,1,8,9.0,18.0,13.5,31.5
4020,4020,0,7,5,0,1200,2,80-60,1000000.0,3,23.88,22.86,23.44,,23.88,46.74,70.18,,9,11,8.0,14.5,15.0,92.5
4021,4021,0,8,5,0,1600,2,80-60,1000000.0,3,24.64,22.77,23.88,24.65,24.64,47.41,71.29,95.94,4,11,1.0,52.5,16.5,26.0
4022,4022,0,9,0,1,1650,8,105-80,1400000.0,2,27.77,22.8,23.78,24.38,27.77,50.57,74.35,98.73,9,13,10.0,28.0,17.0,69.0
4023,4023,0,10,5,0,1400,2,80-60,1000000.0,3,14.05,23.31,23.41,23.39,14.05,37.36,60.77,84.16,6,7,9.0,15.5,33.0,19.0
4024,4024,1,1,4,0,1000,1,40-0,550000.0,5,12.8,22.0,22.75,,12.8,34.8,57.55,,11,5,9.0,18.0,14.0,33.5
4025,4025,1,2,4,0,2200,1,80-55,1000000.0,3,14.0,22.88,25.83,26.7,14.0,36.88,62.71,89.41,7,8,6.0,19.5,17.0,19.0
4026,4026,1,3,4,0,1650,1,60-40,725000.0,4,27.84,23.74,25.08,24.13,27.84,51.58,76.66,100.79,1,3,11.0,48.5,12.5,20.5
4027,4027,1,4,4,0,1000,1,60-40,725000.0,4,12.75,21.39,22.94,,12.75,34.14,57.08,,4,3,7.0,21.0,22.5,129.0
4028,4028,1,5,4,0,1200,1,60-40,725000.0,4,23.78,22.75,23.22,,23.78,46.53,69.75,,10,3,4.0,14.5,22.0,68.0
4029,4029,1,6,4,0,1200,1,80-60,1000000.0,3,23.45,22.52,23.64,,23.45,45.97,69.61,,5,7,1.0,33.5,15.0,12.0
4030,4030,1,7,4,0,1650,1,80-60,1000000.0,3,28.7,24.44,24.39,22.58,28.7,53.14,77.53,100.11,8,10,4.0,15.5,14.5,44.0
4031,4031,1,8,4,0,1200,1,95-75,1400000.0,2,23.66,22.66,23.01,,23.66,46.32,69.33,,12,9,5.0,17.5,16.5,12.5
4032,4032,0,1,1,0,1600,0,40-15,550000.0,5,24.59,23.25,25.16,23.7,24.59,47.84,73.0,96.7,10,7,14.0,48.5,47.0,31.0
4033,4033,0,2,1,0,1400,0,60-40,725000.0,4,14.03,21.88,23.64,23.65,14.03,35.91,59.55,83.2,5,2,1.0,13.0,53.5,12.5
4034,4034,0,3,1,0,1400,0,40-15,550000.0,5,13.62,22.25,23.69,24.11,13.62,35.87,59.56,83.67,7,4,3.0,31.0,39.5,106.0
4035,4035,0,4,1,0,1200,0,60-40,725000.0,4,24.31,22.5,23.45,,24.31,46.81,70.26,,4,1,5.0,12.5,25.5,13.0
4036,4036,0,5,1,0,2000,0,60-35,725000.0,4,26.44,26.2,26.7,23.84,26.44,52.64,79.34,103.18,9,1,11.0,19.0,23.5,21.0
4037,4037,0,6,1,0,1600,0,60-40,725000.0,4,24.72,24.19,24.03,23.58,24.72,48.91,72.94,96.52,11,6,7.0,125.0,20.0,79.5
4038,4038,0,7,1,0,1600,0,80-60,1000000.0,3,24.61,23.05,23.92,23.61,24.61,47.66,71.58,95.19,6,1,5.0,12.0,14.0,12.5
4039,4039,0,8,1,0,1200,0,80-60,1000000.0,3,24.34,22.7,22.55,,24.34,47.04,69.59,,11,2,7.0,51.5,11.5,15.0
4040,4040,0,9,1,0,1400,0,80-60,1000000.0,3,13.53,21.97,23.41,23.63,13.53,35.5,58.91,82.54,7,1,2.0,14.5,25.0,51.5
4041,4041,0,10,1,0,1800,0,105-80,1400000.0,2,13.91,23.05,25.14,24.34,13.91,36.96,62.1,86.44,14,7,3.0,51.0,15.5,93.0
4042,4042,1,1,0,0,1650,0,40-15,550000.0,5,27.78,24.83,25.08,23.93,27.78,52.61,77.69,101.62,6,7,11.0,132.5,17.0,36.5
4043,4043,1,2,0,0,1200,0,60-40,725000.0,4,24.08,22.91,23.43,,24.08,46.99,70.42,,1,4,8.0,46.5,29.0,16.5
4044,4044,1,3,0,0,1650,0,60-40,725000.0,4,27.48,25.25,25.05,23.67,27.48,52.73,77.78,101.45,12,9,2.0,12.0,27.0,33.5
4045,4045,1,4,0,0,1650,0,60-40,725000.0,4,27.66,23.78,25.52,24.1,27.66,51.44,76.96,101.06,7,8,9.0,47.0,31.0,18.0
4046,4046,1,5,0,0,1650,0,80-60,1000000.0,3,27.72,25.09,24.77,23.51,27.72,52.81,77.58,101.09,5,7,8.0,11.5,21.5,19.0
4047,4047,1,6,0,0,1000,0,80-60,1000000.0,3,12.78,21.28,22.96,,12.78,34.06,57.02,,3,7,6.0,16.5,18.5,78.5
4048,4048,1,7,0,0,1200,0,115-90,2000000.0,1,23.41,22.7,23.88,,23.41,46.11,69.99,,10,12,6.0,29.5,11.0,23.0
4049,4049,1,8,0,0,1650,0,100-80,1400000.0,2,27.45,24.8,24.12,23.9,27.45,52.25,76.37,100.27,7,12,8.0,14.0,22.0,23.0
4050,4050,0,1,3,0,1200,0,40-15,550000.0,5,24.16,22.52,24.12,,24.16,46.68,70.8,,11,6,5.0,23.0,36.5,32.5
4051,4051,0,2,3,0,1000,0,60-40,725000.0,4,13.74,21.2,23.19,,13.74,34.94,58.13,,11,9,6.0,16.5,26.5,28.5
4052,4052,0,3,3,0,1400,0,60-40,725000.0,4,13.53,22.16,24.05,23.57,13.53,35.69,59.74,83.31,9,4,13.0,21.5,13.5,12.0
4053,4053,0,4,3,0,1400,0,G,2000000.0,0,13.28,21.53,23.34,23.47,13.28,34.81,58.15,81.62,2,5,4.0,10.1,43.5,20.5
4054,4054,0,5,0,1,1650,1,40-15,550000.0,5,28.2,24.53,24.55,23.62,28.2,52.73,77.28,100.9,8,2,9.0,50.0,21.0,32.0
4055,4055,0,6,3,0,1200,0,60-40,725000.0,4,23.97,23.16,22.72,,23.97,47.13,69.85,,13,1,10.0,23.0,19.5,15.0
4056,4056,0,7,0,1,1650,1,60-40,725000.0,4,28.08,23.75,24.72,23.44,28.08,51.83,76.55,99.99,4,10,9.0,12.0,22.5,75.0
4057,4057,0,8,3,0,1200,0,80-60,1000000.0,3,23.94,22.34,23.54,,23.94,46.28,69.82,,3,4,9.0,24.5,19.0,104.5
4058,4058,0,9,0,1,1200,1,80-60,1000000.0,3,23.75,22.42,23.03,,23.75,46.17,69.2,,4,11,9.0,42.5,13.5,33.0
4059,4059,0,10,3,0,1400,0,100-80,1400000.0,2,13.56,22.16,23.94,22.74,13.56,35.72,59.66,82.4,1,11,6.0,16.5,14.0,12.0
4060,4060,0,11,3,0,1400,0,80-60,1000000.0,3,13.64,22.27,23.89,23.21,13.64,35.91,59.8,83.01,12,6,14.0,28.0,16.0,19.5
4061,4061,0,1,4,0,1400,1,40-20,550000.0,5,13.66,22.23,24.05,23.46,13.66,35.89,59.94,83.4,6,11,1.0,12.0,26.5,13.0
4062,4062,0,2,4,0,1800,1,40-15,550000.0,5,14.06,23.05,24.44,24.62,14.06,37.11,61.55,86.17,10,11,2.0,15.5,41.5,41.5
4063,4063,0,3,4,0,1200,1,60-40,725000.0,4,24.16,23.58,22.93,,24.16,47.74,70.67,,9,4,2.0,13.0,18.0,12.0
4064,4064,0,4,4,0,1800,1,80-55,1000000.0,3,13.86,23.34,24.7,24.44,13.86,37.2,61.9,86.34,6,10,2.0,26.0,40.5,15.5
4065,4065,0,5,4,0,1200,1,60-40,725000.0,4,23.74,22.84,23.6,,23.74,46.58,70.18,,3,2,11.0,14.0,11.5,20.5
4066,4066,0,6,4,0,1400,1,60-40,725000.0,4,13.45,22.08,23.84,23.79,13.45,35.53,59.37,83.16,1,11,2.0,13.0,27.5,14.0
4067,4067,0,7,4,0,1600,1,60-40,725000.0,4,24.42,23.02,25.0,23.83,24.42,47.44,72.44,96.27,12,5,13.0,42.0,13.0,196.0
4068,4068,0,8,4,0,1400,1,95+,2500000.0,13,13.94,22.86,23.11,22.35,13.94,36.8,59.91,82.26,3,6,8.0,14.0,53.0,11.0
4069,4069,0,9,4,0,1000,1,80-60,1000000.0,3,13.41,20.94,22.18,,13.41,34.35,56.53,,7,10,2.0,36.0,17.5,10.1
4070,4070,0,10,4,0,1400,1,80-60,1000000.0,3,13.72,22.56,23.44,22.87,13.72,36.28,59.72,82.59,8,10,4.0,15.5,14.0,23.5
4071,4071,0,11,4,0,1600,1,100-80,1400000.0,2,25.16,24.81,24.53,22.66,25.16,49.97,74.5,97.16,10,2,14.0,12.5,26.0,35.5
4072,4072,0,1,5,0,1000,1,40-15,550000.0,5,13.12,20.81,23.43,,13.12,33.93,57.36,,4,7,2.0,14.5,11.5,20.5
4073,4073,0,2,5,0,1600,1,40-0,550000.0,5,25.06,23.41,24.55,23.67,25.06,48.47,73.02,96.69,8,6,1.0,19.0,70.5,43.0
4074,4074,0,3,5,0,1000,1,60-40,725000.0,4,13.36,20.95,22.81,,13.36,34.31,57.12,,8,2,1.0,18.5,18.5,12.5
4075,4075,0,4,0,1,1200,1,60-40,725000.0,4,23.61,22.38,23.25,,23.61,45.99,69.24,,7,10,2.0,20.0,16.5,12.0
4076,4076,0,5,5,0,1400,1,60-40,725000.0,4,13.47,21.8,23.06,24.41,13.47,35.27,58.33,82.74,3,13,14.0,16.0,25.0,26.0
4077,4077,0,6,5,0,1800,1,60-40,725000.0,4,14.06,22.98,24.58,24.36,14.06,37.04,61.62,85.98,10,4,6.0,33.5,73.5,40.5
4078,4078,0,7,5,0,1600,1,80-55,1000000.0,3,24.53,24.05,24.38,23.63,24.53,48.58,72.96,96.59,1,7,2.0,18.0,12.0,25.0
4079,4079,0,8,5,0,1200,1,80-60,1000000.0,3,24.5,24.0,21.98,,24.5,48.5,70.48,,12,3,10.0,18.5,26.0,16.0
4080,4080,0,9,0,1,1200,1,85-60,1000000.0,3,23.61,21.83,22.94,,23.61,45.44,68.38,,1,10,7.0,16.5,14.0,22.0
4081,4081,0,10,5,0,1000,1,105-80,1400000.0,2,13.02,20.61,22.85,,13.02,33.63,56.48,,8,10,6.0,26.5,23.5,38.5
4082,4082,1,1,2,0,1200,1,40-0,550000.0,5,24.11,22.89,23.44,,24.11,47.0,70.44,,3,9,1.0,15.5,24.5,20.0
4083,4083,1,2,2,0,1000,1,60-40,725000.0,4,12.56,21.2,23.32,,12.56,33.76,57.08,,12,11,4.0,14.5,19.5,53.0
4084,4084,1,3,2,0,1200,1,65-40,725000.0,4,23.52,23.24,23.56,,23.52,46.76,70.32,,1,5,8.0,30.0,16.5,22.5
4085,4085,1,4,2,0,1650,1,60-40,725000.0,4,27.44,23.06,25.03,24.47,27.44,50.5,75.53,100.0,1,5,7.0,13.5,36.0,18.5
4086,4086,1,5,2,0,1800,1,90+,2500000.0,13,13.58,23.03,24.72,24.55,13.58,36.61,61.33,85.88,4,3,9.0,19.0,11.5,22.5
4087,4087,1,6,2,0,1650,1,80-60,1000000.0,3,27.98,23.67,25.31,22.98,27.98,51.65,76.96,99.94,6,2,10.0,13.0,22.0,22.0
4088,4088,1,7,2,0,1200,1,80-60,1000000.0,3,24.14,23.14,22.99,,24.14,47.28,70.27,,10,12,3.0,13.0,21.0,78.0
4089,4089,1,8,2,0,1650,1,80-60,1000000.0,3,27.97,24.22,24.78,23.37,27.97,52.19,76.97,100.34,5,1,7.0,14.0,17.5,25.0
4090,4090,0,1,0,1,1200,1,40-15,550000.0,5,23.52,22.41,23.14,,23.52,45.93,69.07,,2,5,1.0,36.0,13.0,19.5
